score, nb_features, nb_components
0.47208, 10, 1
0.47323, 12, 1
0.47291, 15, 1
0.47782, 17, 1
0.47759, 20, 1
0.47482, 10, 2
0.47753, 12, 2
0.47559, 15, 2
0.47933, 17, 2
0.47863, 20, 2
0.48039, 10, 4
0.48079, 12, 4
0.48000, 15, 4
0.48101, 17, 4
0.48139, 20, 4
0.48040, 10, 6
0.48063, 12, 6
0.48077, 15, 6
0.48127, 17, 6
0.48379, 20, 6
0.48108, 10, 8
0.48071, 12, 8
0.48060, 15, 8
0.48320, 17, 8
0.48464, 20, 8
0.48102, 10, 10
0.48103, 12, 10
0.48198, 15, 10
0.48300, 17, 10
0.48491, 20, 10
