score, nb_features, nb_components
0.46433, 10, 1
0.47357, 12, 1
0.47680, 15, 1
0.47580, 17, 1
0.47691, 20, 1
0.46503, 10, 2
0.47310, 12, 2
0.47678, 15, 2
0.47653, 17, 2
0.47711, 20, 2
0.46489, 10, 4
0.47300, 12, 4
0.47675, 15, 4
0.47654, 17, 4
0.47711, 20, 4
0.46489, 10, 6
0.47300, 12, 6
0.47675, 15, 6
0.47654, 17, 6
0.47711, 20, 6
0.46489, 10, 8
0.47300, 12, 8
0.47675, 15, 8
0.47654, 17, 8
0.47711, 20, 8
0.46489, 10, 10
0.47300, 12, 10
0.47675, 15, 10
0.47654, 17, 10
0.47711, 20, 10
