score, nb_features, nb_layers, learning_rate
0.42582, 10, 10, constant
0.42096, 12, 10, constant
0.42613, 15, 10, constant
0.41955, 17, 10, constant
0.41701, 20, 10, constant
0.46544, 10, (17,17), constant
0.47283, 12, (17,17), constant
0.47640, 15, (17,17), constant
0.47662, 17, (17,17), constant
0.47492, 20, (17,17), constant
